id,palabra,word,valencia_m,valencia_sd,activacion_m,activacion_sd,concrecion_m,concrecion_sd,imaginabilidad_m,imaginabilidad_sd,disponiblidad_contextual_m,disponibilidad_contextual_sd,familiaridad_m,familiaridad_sd,categoria_palabra
454,"diferencia","difference",4.82,1.47,4.40,1.98,3.40,1.88,2.13,0.97,4.77,1.77,6.85,0.49,1
455,"dificultad","difficulty",3.48,1.90,6.85,1.81,3.20,1.44,2.65,1.42,4.27,1.98,6.32,0.57,1
456,"difunto","deceased",2.07,0.94,5.57,2.45,5.77,1.07,5.19,1.75,6.15,1.31,4.52,1.75,3
457,"difusión","diffusion",5.27,1.03,5.30,2.15,2.45,1.41,1.59,1.18,3.05,1.96,4.14,1.98,1
458,"dignidad","dignity",7.30,0.97,4.95,2.89,2.50,1.61,2.62,1.56,4.27,2.25,6.15,1.27,1
459,"dinámica","dynamics",6.46,1.28,5.24,2.34,2.32,1.43,2.14,1.24,4.30,2.39,5.32,1.59,1
460,"dinero","money",6.95,1.36,5.27,2.60,5.36,1.71,6.86,0.47,6.30,1.56,6.86,0.36,1
461,"diosa","goddess",6.58,1.33,4.90,2.05,3.67,1.88,4.20,2.19,3.91,2.33,4.95,1.60,1
462,"diputada","deputy",3.75,1.73,5.17,2.42,5.82,1.01,4.81,1.99,5.24,2.02,5.15,1.69,1
463,"directora","director",5.77,1.63,5.55,2.06,4.71,1.71,4.60,1.90,5.32,1.84,6.26,1.14,1
464,"disco","disk",6.14,1.28,6.64,1.68,5.27,1.64,6.73,0.55,6.05,1.73,6.36,1.05,1
465,"discusión","discussion",2.05,0.84,8.20,1.01,4.35,2.13,4.75,2.07,5.77,1.60,6.30,1.17,1
466,"diseñadora","designer",5.85,1.22,4.40,1.67,5.33,1.46,3.35,1.90,4.91,2.04,5.82,1.26,1
467,"diseño","design",6.09,0.87,3.67,1.71,1.90,0.70,3.41,2.17,4.80,2.26,5.57,1.21,1
468,"disertación","dissertation",4.38,0.86,5.05,1.89,4.43,1.67,1.96,1.07,1.91,1.48,2.40,1.27,1
469,"disgusto","disgust",1.74,0.81,7.45,1.57,3.91,1.93,2.45,1.60,4.82,1.76,5.68,1.70,1
470,"disminución","decrease",3.00,1.81,3.86,2.17,2.95,1.88,2.24,1.41,3.74,2.32,4.68,1.76,1
471,"disminuido","decreased",3.32,1.36,4.45,1.76,2.76,0.89,3.62,1.69,4.42,2.10,4.19,1.78,1
472,"disparate","nonsense",4.68,1.70,5.80,2.14,2.75,1.48,1.95,1.15,3.50,1.87,4.77,1.93,1
473,"distorsión","distortion",2.77,1.41,5.95,2.56,2.65,1.76,3.05,1.90,2.88,1.92,4.95,1.64,1
474,"distrito","district",4.55,1.14,4.32,1.81,4.30,2.16,3.96,2.01,3.64,2.01,3.64,1.71,1
475,"disturbio","disturbance",3.05,1.16,6.50,1.05,4.43,1.50,4.00,2.02,4.27,1.96,4.71,1.45,1
476,"diversión","fun",8.43,0.93,7.41,1.53,2.75,1.62,4.30,1.79,5.95,1.43,6.10,1.37,1
477,"divinidad","divinity",5.79,2.11,4.29,2.08,1.85,0.88,2.52,1.83,2.80,2.09,3.75,1.74,1
478,"división","division",4.20,1.20,4.18,1.71,3.05,1.40,4.55,2.02,4.55,1.88,5.82,1.30,1
479,"divorcio","divorce",2.68,1.43,6.40,1.35,5.19,1.94,3.65,1.57,4.95,1.99,5.71,1.59,1
480,"doctora","doctor",5.89,1.57,5.39,2.29,5.68,1.21,6.57,0.60,6.05,1.43,6.59,0.67,1
481,"documento","document",4.82,1.30,4.50,2.14,4.45,1.85,6.55,0.83,5.50,1.93,6.14,1.06,1
482,"dorada","golden",6.14,1.36,4.20,2.28,4.29,2.31,5.55,1.67,3.91,2.47,4.86,1.83,1
483,"dormitorio","room",7.30,1.46,3.09,2.69,6.41,0.73,6.87,0.34,6.77,0.53,6.50,1.41,1
484,"dramatismo","drama",3.95,1.25,7.40,1.50,3.05,1.62,3.20,1.67,3.64,2.04,5.00,1.90,1
485,"drogadicta","junkie",1.27,0.70,6.30,2.12,5.80,1.01,5.57,1.36,4.61,1.85,5.50,1.65,1
486,"drogadicto","junkie",1.70,1.13,7.05,1.70,5.14,1.31,5.55,1.23,5.68,1.46,4.85,1.81,1
487,"duda","doubt",3.10,1.12,6.36,1.92,3.15,1.95,2.43,1.78,5.52,1.83,6.25,0.97,1
488,"dudar","to doubt",3.35,1.19,5.14,2.21,3.91,1.95,3.40,1.57,4.41,2.09,6.33,0.73,2
489,"duelo","duel",2.80,2.24,6.41,1.68,3.62,2.11,4.67,1.71,5.20,2.42,4.25,1.59,1
490,"dureza","hardness",4.17,2.08,6.68,1.67,2.90,1.92,3.30,1.78,3.82,2.24,6.10,1.65,1
491,"echar","throw",2.83,1.53,5.91,1.95,2.77,1.38,3.50,2.06,5.32,1.94,6.14,1.46,1
492,"edificio","building",5.00,0.56,4.09,1.57,5.52,1.83,6.77,0.69,6.23,1.34,6.68,0.65,1
493,"editora","editor",5.62,1.33,4.50,2.01,5.38,1.50,3.00,1.84,3.36,2.13,4.57,2.11,1
494,"educadora","educator",6.71,1.15,4.30,1.82,4.91,1.72,4.57,2.16,4.57,1.94,4.82,1.50,1
495,"efectividad","effectiveness",7.00,1.41,4.05,2.35,3.20,1.79,1.95,1.59,3.92,2.17,5.70,1.26,1
496,"efecto","effect",5.36,1.09,4.65,2.08,2.30,1.53,1.95,1.39,3.00,1.81,4.95,1.82,1
497,"egoísmo","selfishness",2.27,1.16,6.90,2.10,3.33,1.93,2.36,1.40,4.55,2.13,5.77,1.63,1
498,"ejecutivo","executive",5.29,1.01,5.13,2.01,5.65,1.53,6.05,1.02,4.62,2.11,4.19,1.86,3
499,"ejemplar","exemplary",5.91,1.15,4.32,2.19,2.36,1.40,2.33,1.11,4.10,2.10,5.45,1.50,1
500,"ejemplo","instance",5.45,1.05,4.09,1.54,2.05,1.50,1.82,1.10,4.32,2.10,6.52,1.31,1
501,"electricidad","electricity",5.36,1.29,5.30,2.49,4.30,2.08,4.15,1.79,3.64,2.28,6.13,1.14,1
502,"elegante","elegant",7.95,1.05,4.40,2.35,4.35,2.03,4.95,1.99,5.39,2.08,6.27,1.08,1
503,"elemento","element",5.09,0.29,4.25,2.02,1.55,1.14,1.86,1.32,3.64,2.08,5.83,1.75,1
504,"eliminación","elimination",2.59,1.68,5.00,2.70,3.80,2.02,2.75,2.24,3.26,2.12,5.43,1.47,1
505,"elogio","praise",7.80,1.06,6.05,2.34,3.14,1.88,2.80,1.54,4.22,1.98,4.81,1.36,1
506,"embajada","embassy",4.95,0.58,4.73,1.96,5.40,1.64,4.14,2.23,4.00,2.29,3.57,1.29,1
507,"embarazada","pregnant",7.68,1.17,5.95,2.44,6.76,0.70,6.73,0.55,6.29,1.55,6.10,1.21,1
508,"embarazo","pregnancy",7.20,2.07,7.18,2.34,5.95,1.63,6.85,0.49,6.52,0.95,6.09,1.41,1
509,"emoción","emotion",8.30,0.86,8.23,1.15,2.50,1.64,3.15,1.79,6.43,0.99,6.55,0.74,1
510,"emperador","emperor",4.85,1.31,5.05,2.04,5.05,1.47,5.05,1.53,4.18,2.44,4.29,2.19,1
511,"emperatriz","empress",5.10,1.45,4.75,1.83,5.38,1.50,4.59,1.79,3.50,2.43,4.29,1.38,1
512,"empresaria","businesswoman",5.57,1.20,4.48,1.68,4.18,1.76,4.48,2.02,4.43,2.09,5.35,1.79,1
513,"empresario","entrepreneur",5.29,1.44,4.80,1.94,4.73,1.80,4.71,1.90,4.62,1.77,5.38,1.40,1
514,"enamorado","in love",8.05,1.24,6.00,2.96,4.10,1.89,4.00,1.81,6.50,1.06,6.35,1.09,1
515,"encaje","lace",5.52,1.41,3.80,2.12,4.95,1.56,5.14,1.96,2.95,2.19,4.48,1.57,1
516,"encuentro","find",7.25,1.59,5.86,2.17,2.65,1.69,3.65,1.46,5.43,1.75,6.35,1.04,1
517,"enemigo","enemy",2.57,1.47,6.95,2.04,5.10,1.37,3.40,1.90,4.85,1.95,5.64,1.43,1
518,"enérgico","energetic",6.90,1.17,6.18,2.02,4.57,1.59,4.17,2.10,5.14,2.03,5.00,1.98,3
519,"enfadado","angry",1.95,0.92,6.90,1.33,5.04,1.89,5.09,2.00,5.91,1.77,6.48,0.87,1
520,"enfado","anger",2.43,0.98,7.35,1.18,4.74,1.79,4.74,2.07,5.77,1.72,6.62,0.67,1
521,"enfermedad","disease",1.35,0.65,8.35,0.93,2.35,1.35,3.10,1.41,5.77,1.31,6.10,1.22,1
522,"enfermero","nurse",5.50,1.88,5.60,1.67,6.00,1.00,6.57,0.75,6.18,1.05,6.25,0.79,1
523,"enfurecido","enraged",2.50,0.80,7.24,1.97,5.26,1.48,4.52,2.33,4.77,2.25,5.19,1.66,1
524,"engañar","to deceive",1.48,0.67,7.64,1.56,4.05,1.91,2.67,1.46,5.00,2.05,6.23,0.97,2
525,"enigma","enigma",5.27,1.55,6.68,1.78,2.95,1.57,2.65,1.53,3.35,1.76,4.24,1.55,1
526,"enmienda","amendment",4.70,0.98,4.00,2.02,4.30,1.77,1.83,0.98,1.77,1.19,3.14,1.88,1
527,"enredo","tangle",3.33,1.17,5.86,2.03,3.55,1.65,3.71,1.62,3.85,2.03,5.50,1.36,1
528,"enterrador","undertaker",1.60,1.05,6.40,1.98,5.81,1.21,5.41,1.50,4.68,2.19,3.95,2.37,1
529,"entierro","burial",1.35,0.49,7.27,1.49,6.15,0.88,5.95,1.47,6.20,1.01,5.71,1.74,1
530,"entorno","environment",5.95,1.40,5.25,2.12,2.90,1.92,2.64,1.43,4.88,2.25,6.20,1.28,1
531,"entusiasmo","enthusiasm",7.91,1.11,7.35,2.32,3.40,1.76,2.75,1.68,5.09,2.07,5.81,1.03,1
532,"episodio","episode",5.71,1.23,4.14,1.62,3.90,1.18,3.05,2.13,4.80,2.48,6.32,0.78,1
533,"época","time",5.22,0.74,4.65,1.93,2.55,1.34,2.76,1.48,3.82,2.13,5.71,1.19,1
534,"erección","erection",6.90,1.94,7.41,1.97,6.27,1.20,6.57,0.60,5.96,1.30,6.20,1.11,1
535,"erótico","erotic",7.48,0.98,7.14,1.91,5.35,1.50,5.43,1.70,5.77,1.66,6.09,0.75,3
536,"escala","scale",4.75,0.55,3.73,1.83,2.50,1.43,2.91,2.02,4.35,2.54,5.91,1.06,1
537,"escalera","ladder",4.95,0.49,4.00,1.84,6.29,1.27,6.82,0.50,6.36,1.09,6.60,0.99,1
538,"escaparate","showcase",5.86,1.21,3.83,2.21,4.91,1.85,6.67,0.58,5.14,1.85,6.00,1.14,1
539,"escasez","scarcity",2.04,1.15,6.35,2.58,3.55,2.04,3.76,2.26,3.82,1.99,5.55,1.93,1
540,"escena","scene",5.55,0.80,4.55,1.65,3.45,1.50,4.35,1.79,5.55,1.82,5.70,1.42,1
541,"escenario","stage",6.50,1.72,6.38,2.18,5.20,1.15,6.41,0.85,5.90,1.86,5.55,1.73,1
542,"escéptico","skeptical",4.23,0.87,4.55,1.44,4.00,1.76,1.77,1.51,2.55,1.77,3.91,1.95,1
543,"escorpión","scorpion",3.35,1.73,6.50,1.82,6.70,0.56,6.78,0.67,5.36,2.01,5.05,1.76,1
544,"escote","cleavage",5.71,1.78,4.87,2.05,5.68,1.55,6.52,0.87,4.62,2.33,6.23,1.19,1
545,"escritora","writer",6.04,0.84,3.52,1.95,5.68,1.13,5.14,1.62,5.00,1.87,6.09,1.06,1
546,"escuela","school",6.15,1.64,4.90,1.89,5.52,1.36,6.65,1.14,6.32,1.29,6.67,0.48,1
547,"escultora","sculptor",6.39,1.07,4.17,1.97,5.27,1.24,4.14,2.13,3.52,1.83,4.73,2.03,1
548,"esfuerzo","effort",7.85,1.14,5.55,2.20,2.40,1.50,3.09,1.60,5.35,2.04,6.15,1.18,1
549,"espanto","fright",2.86,1.55,7.45,1.39,3.05,1.94,2.68,1.52,3.41,2.06,4.10,1.92,1
550,"espantoso","frightening",2.55,1.05,6.35,2.16,3.83,1.85,3.61,1.80,5.59,1.30,5.24,1.73,1
551,"esperanza","hope",7.70,1.36,4.65,3.23,2.50,1.67,2.30,0.92,4.50,1.92,5.95,1.36,1
552,"esqueleto","skeleton",4.38,2.10,5.00,2.24,5.90,1.61,6.62,0.50,5.95,1.90,5.86,1.25,1
553,"esquina","corner",4.45,1.10,4.10,1.68,5.59,1.53,6.62,0.74,4.50,2.26,5.81,1.03,1
554,"estado","state",5.17,1.20,4.86,1.49,2.35,1.66,1.95,1.33,3.45,2.26,5.55,1.73,1
555,"estallido","pop",3.35,1.43,7.45,1.47,5.25,1.45,3.95,2.37,4.73,1.98,4.09,1.57,1
556,"estantería","shelf",5.00,0.77,3.65,2.25,5.73,1.80,6.81,0.51,5.00,2.19,6.00,1.41,1
557,"estilista","stylist",6.20,1.20,4.55,2.06,5.38,1.12,5.25,1.48,4.95,2.08,4.55,2.16,1
558,"estilo","style",6.35,1.04,3.82,1.79,2.50,1.47,3.30,1.84,3.96,2.29,6.00,1.31,1
559,"estimulación","stimulation",6.73,1.28,6.75,2.15,3.30,1.45,2.15,1.60,4.22,2.09,5.86,1.39,1
560,"estímulo","stimulus",6.09,1.27,6.55,1.99,3.40,1.93,2.50,1.88,4.70,1.92,5.95,1.60,1
561,"estómago","stomach",4.73,1.03,4.27,1.83,5.95,1.23,5.87,1.29,5.23,1.93,6.57,0.95,1
562,"estrecho","narrow",4.48,0.81,4.95,2.19,3.85,2.06,4.60,1.54,5.15,2.28,5.38,1.40,3
563,"estuche","case",5.17,0.49,3.70,1.63,5.67,1.59,6.75,0.55,6.45,0.91,5.90,1.55,1
564,"eternidad","eternity",6.70,1.92,4.55,2.93,2.68,1.86,1.90,1.45,3.91,2.27,4.75,1.86,1
565,"ética","ethics",6.95,1.28,3.77,2.00,3.27,2.05,1.90,1.09,3.96,2.65,4.95,1.94,1
566,"etiqueta","label",4.81,1.03,3.86,1.88,4.41,1.87,6.20,1.01,5.20,2.38,6.05,1.28,1
567,"eufórico","euphoric",7.68,1.09,7.20,1.01,4.91,1.53,4.74,1.74,5.55,1.71,5.30,1.30,1
568,"evolución","evolution",7.09,1.41,5.59,1.76,2.59,1.47,2.73,1.55,4.41,1.92,5.61,1.73,1
569,"exceso","excess",3.88,2.01,6.90,1.73,3.09,1.44,3.15,1.35,4.45,2.06,6.00,1.26,1
570,"excitado","excited",7.62,1.12,7.82,1.18,4.17,1.87,4.78,2.00,5.95,1.33,6.00,0.95,1
571,"exclusión","exclusion",2.22,1.35,6.86,1.96,3.05,1.65,2.55,1.26,4.14,1.81,4.23,1.88,1
572,"excursión","tour",7.67,1.20,5.81,2.38,4.30,2.05,5.09,1.57,6.80,0.52,6.20,1.44,1
573,"exhibición","display",5.82,1.22,6.15,1.84,3.80,1.94,3.85,2.18,4.17,2.01,5.55,1.30,1
574,"exigencia","requirement",4.38,1.69,6.23,1.66,3.40,1.85,1.77,1.45,4.45,1.90,5.19,2.04,1
575,"exilio","exile",2.82,1.68,5.95,2.46,3.76,2.07,4.10,1.81,3.50,2.37,4.55,1.79,1
576,"éxito","success",8.30,0.82,6.70,2.74,2.45,1.50,3.60,1.50,5.41,1.53,5.95,1.43,1
577,"explosión","explosion",1.59,1.10,8.25,1.21,5.10,1.37,5.45,1.57,5.61,1.75,5.59,1.44,1
578,"explotación","exploitation",2.00,1.45,7.55,1.37,3.60,2.01,3.09,1.97,4.91,2.14,4.67,1.71,1
579,"explotador","operator",1.85,1.42,7.15,1.93,3.38,1.72,2.73,1.55,2.95,1.81,4.73,1.45,1
580,"éxtasis","ecstasy",6.29,2.22,7.55,1.47,4.41,1.76,3.41,1.92,4.25,2.22,5.00,1.67,1
581,"extinción","extinction",2.33,1.76,5.48,2.38,3.65,1.81,2.32,1.49,3.80,1.99,5.20,2.07,1
582,"extrañeza","strangeness",4.18,1.14,4.82,2.28,3.14,1.65,1.86,1.52,2.59,1.74,4.60,1.70,1
583,"fábrica","factory",4.14,1.28,4.50,1.68,6.09,1.19,6.27,0.98,5.23,2.09,5.95,1.21,1
584,"facha","facade",3.05,1.53,6.81,1.72,3.55,1.68,4.15,1.53,5.00,1.84,4.82,1.62,1
585,"facilidad","ease",6.65,1.61,4.20,2.80,2.45,1.36,2.45,1.15,3.59,1.74,6.25,1.29,1
586,"facultad","faculty",5.71,0.90,5.68,1.64,4.38,2.20,5.81,1.50,6.15,1.57,6.45,1.00,1
587,"falda","skirt",6.04,1.07,4.17,2.27,6.00,1.02,6.86,0.36,5.81,1.08,6.64,0.73,1
588,"falso","false",2.71,1.10,6.14,1.42,3.25,1.68,2.50,1.43,3.75,2.12,6.19,1.21,3
589,"famosa","famous",5.60,1.57,6.00,2.18,4.33,1.83,4.90,1.45,5.82,1.47,5.95,1.47,1
590,"fantasía","fantasy",7.86,1.17,5.70,2.11,2.82,1.53,2.61,2.02,4.14,2.08,5.91,1.27,1
591,"farmacéutica","pharmaceutical",5.75,1.14,4.04,1.92,5.95,1.36,6.48,0.60,5.81,1.69,5.86,1.42,1
592,"faro","lighthouse",5.60,1.05,3.05,1.77,6.70,0.92,6.86,0.36,5.59,1.92,4.90,1.37,1
593,"fascinación","fascination",7.33,1.24,6.95,2.36,3.00,1.72,2.26,1.89,4.15,1.84,4.75,1.59,1
594,"fascinante","fascinating",8.36,0.66,6.20,3.02,3.20,1.47,1.60,0.75,3.70,2.12,5.50,1.67,1
595,"fatalidad","fatality",2.32,1.25,6.70,1.72,2.35,1.42,1.86,1.25,2.86,2.01,4.68,1.94,1
596,"faz","face",4.91,0.29,3.45,1.68,3.10,2.07,2.17,1.77,2.32,2.03,3.35,1.79,1
597,"fealdad","ugliness",3.14,1.32,5.25,2.15,3.36,2.04,3.81,1.83,3.77,2.33,3.76,1.87,1
598,"fecha","date",5.05,1.05,4.64,1.36,3.91,1.95,3.90,1.80,6.30,1.56,6.70,0.56,1
599,"felicidad","happiness",8.83,0.49,5.30,3.74,2.85,1.87,4.00,1.98,5.95,1.56,6.75,0.72,1
600,"feliz","happy",8.55,0.69,5.55,3.15,5.00,2.09,5.39,1.95,6.41,1.44,6.77,0.53,1
601,"figura","figure",5.14,0.76,3.83,2.10,2.50,1.65,5.38,1.63,4.29,2.24,5.00,1.45,1
602,"firma","signature",5.45,0.80,3.95,1.68,5.48,1.75,6.27,1.20,5.65,2.11,6.05,1.56,1
603,"flamenco","flamenco",5.86,1.24,4.19,2.16,4.95,1.36,5.85,1.69,5.00,1.92,4.86,1.73,3
604,"foco","focus",4.86,1.01,4.86,2.03,4.86,1.52,6.00,1.56,5.00,2.51,4.85,1.90,1
605,"follón","mess",3.67,1.77,6.50,1.93,3.61,1.83,4.61,2.19,5.86,1.39,5.95,0.97,1
606,"forastero","outsider",5.09,1.44,4.05,2.32,3.85,1.76,4.55,1.67,4.91,1.93,4.61,1.83,1
607,"fortuna","fortune",7.09,1.57,5.70,1.87,2.62,1.50,4.40,1.43,4.55,1.93,4.90,1.97,1
608,"fotógrafa","photographer",7.35,1.18,3.85,2.01,5.57,1.16,6.29,1.06,6.27,1.20,6.14,1.24,1
609,"fotografía","photography",6.50,1.86,3.85,1.84,5.76,1.41,6.30,1.26,6.14,1.21,6.50,0.69,1
610,"fotógrafo","photographer",6.45,1.32,4.05,2.38,6.59,0.67,6.64,0.79,6.13,1.52,5.95,1.36,1
611,"fracaso","failure",1.61,0.72,7.75,1.59,3.27,1.70,2.48,1.73,4.23,2.11,5.76,1.09,1
612,"fracción","fraction",4.67,0.86,3.35,1.84,3.15,1.31,4.00,2.07,3.55,1.93,4.14,1.85,1
613,"fragilidad","fragility",3.05,1.25,4.60,2.21,3.40,1.98,3.30,1.49,4.73,1.91,5.85,1.79,1
614,"frialdad","chill",3.33,1.66,4.81,2.77,2.85,1.76,2.30,1.33,3.40,2.06,5.10,2.13,1
615,"frustración","frustration",1.88,1.08,5.62,2.62,3.80,1.88,2.32,1.43,4.00,2.03,5.50,1.15,1
616,"fruto","fruit",6.23,1.11,3.15,1.79,4.14,1.98,5.91,1.27,4.95,1.85,6.18,1.18,1
617,"fuerte","strong",7.50,1.56,6.19,2.04,3.73,1.64,4.96,1.69,5.40,1.96,6.71,0.56,1
618,"fuerza","force",7.63,1.44,7.24,1.76,2.20,1.40,3.41,1.92,5.40,1.79,6.50,1.19,1
619,"fugitivo","fugitive",2.85,1.53,6.91,1.77,4.05,1.57,5.14,1.49,5.26,1.98,4.25,2.15,1
620,"función","function",5.33,0.97,4.05,1.47,2.59,1.47,2.17,1.56,3.45,2.06,5.50,1.44,1
621,"furgoneta","van",5.25,0.75,4.35,2.21,6.27,0.98,7.00,0.00,5.38,1.86,6.14,1.17,1
622,"furia","fury",3.05,1.32,7.09,1.34,3.76,2.10,3.62,1.53,4.64,2.24,5.19,1.86,1
623,"fusil","rifle",2.59,1.44,6.86,1.93,6.40,0.82,6.30,1.08,4.45,1.67,5.15,1.69,1
624,"fútbol","football",5.32,2.15,6.00,2.25,6.64,0.73,6.32,0.89,6.17,1.40,6.65,0.93,1
625,"futuro","future",7.40,1.57,7.41,1.68,2.00,1.52,2.61,1.80,4.48,2.56,6.75,0.44,3
626,"gabardina","raincoat",5.00,1.15,3.30,1.89,6.32,1.13,6.52,0.87,4.00,2.10,4.73,2.05,1
627,"galardón","award",7.75,0.97,6.00,2.70,4.27,1.88,3.14,1.71,3.14,1.85,4.33,1.83,1
628,"ganado","cattle",6.29,1.97,4.14,1.82,4.65,2.03,6.00,1.27,5.25,1.59,4.50,2.16,1
629,"ganadora","winner",7.50,1.36,6.05,2.09,4.10,2.02,5.24,1.70,4.68,1.81,6.09,1.34,1
630,"ganar","to win",7.58,1.35,7.10,2.45,4.14,1.70,3.45,1.67,6.15,1.18,6.52,0.81,2
631,"gangrena","gangrene",2.40,1.47,6.36,2.22,5.39,1.88,4.26,2.42,2.68,2.08,3.70,2.36,1
632,"garfio","hook",4.29,1.18,4.87,2.18,6.00,1.45,6.43,1.47,3.38,2.62,4.04,2.08,1
633,"garganta","throat",4.55,1.15,3.95,1.94,6.35,0.93,6.14,0.89,5.09,2.09,6.40,0.82,1
634,"garrote","club",3.15,1.73,6.30,1.63,5.05,1.77,4.32,2.42,3.05,2.30,3.20,2.02,1
635,"gato","cat",5.76,1.70,4.10,1.97,6.38,1.16,7.00,0.00,6.40,1.14,6.62,1.16,1
636,"gemido","groan",5.27,2.10,7.10,2.02,4.50,1.54,3.86,2.14,5.38,1.91,5.77,1.45,1
637,"género","genre",4.90,0.44,3.91,1.51,2.50,1.61,3.81,2.34,3.86,2.10,5.45,1.99,1
638,"genialidad","genius",8.27,0.88,5.70,2.72,3.20,1.99,2.30,1.89,4.04,2.27,4.86,1.74,1
639,"genio","genius",6.45,1.36,5.20,2.02,3.86,1.81,4.95,1.99,4.55,2.19,5.82,1.26,1
640,"gente","people",6.48,1.40,5.41,2.42,3.10,2.15,6.60,0.68,6.20,1.40,6.85,0.49,1
641,"gerente","manager",4.73,0.83,5.20,1.96,5.24,1.37,3.50,1.85,2.95,1.56,4.48,1.83,1
642,"gestión","management",4.64,0.73,4.50,1.85,3.50,1.67,2.48,1.50,3.73,2.29,5.25,1.83,1
643,"gimnasio","gym",5.50,1.95,6.10,2.27,6.20,0.83,6.87,0.34,5.75,1.96,6.77,0.53,1
644,"gimnasta","gymnast",6.04,1.14,4.96,2.10,5.59,1.33,5.90,1.04,5.24,1.67,4.82,1.89,1
645,"giro","rotation",4.86,0.73,4.82,1.92,4.30,1.56,4.18,1.71,4.00,2.23,6.45,1.05,3
646,"globo","globe",6.17,1.37,3.60,2.16,5.77,1.51,6.48,1.21,6.50,1.19,5.57,1.33,1
647,"gobernador","governor",3.45,1.64,5.45,1.84,6.23,0.81,5.71,1.62,4.55,2.26,5.45,1.47,1
648,"goce","enjoyment",7.10,1.37,6.77,1.15,3.09,1.77,2.77,1.69,4.55,2.11,4.65,2.25,1
649,"golfista","golfer",5.10,1.21,4.00,1.65,5.48,1.75,5.95,1.53,4.68,2.21,5.30,1.82,1
650,"golfo","gulf",4.19,1.65,4.70,1.87,4.29,1.62,4.15,2.30,3.45,2.32,4.09,1.82,1
651,"gota","drop",5.41,1.05,3.29,1.82,5.25,1.71,6.65,0.99,5.85,2.18,6.52,1.08,1
652,"gozar","to enjoy",7.77,1.34,4.40,3.22,3.86,1.88,3.40,1.70,6.05,1.56,4.95,1.70,1
653,"grado","degree",5.39,1.23,4.27,1.55,3.10,1.55,1.91,1.48,4.18,2.40,5.62,1.20,1
654,"graduada","graduate",7.07,1.46,6.61,2.43,4.36,1.47,5.52,1.33,4.95,1.94,5.95,1.53,1
655,"granjero","farmer",5.50,1.10,2.95,1.82,5.95,0.90,6.38,1.02,5.19,1.89,4.76,1.58,1
656,"grano","grain",3.70,1.45,4.77,2.11,4.68,1.73,6.52,0.73,5.20,1.88,6.23,1.07,1
657,"grave","grave",2.70,1.56,6.82,1.82,3.78,1.73,3.39,1.70,5.18,1.68,5.82,1.10,1
658,"grieta","crack",3.00,1.23,4.85,1.98,6.14,0.71,6.85,0.37,3.88,2.42,4.75,1.80,1
659,"guante","glove",5.15,0.81,3.95,1.79,6.14,1.39,6.86,0.36,5.91,1.74,6.62,0.59,1
660,"guardería","nursery",6.55,1.54,4.43,2.31,6.20,0.83,6.35,1.14,5.60,1.79,5.33,1.93,1
661,"guardián","guardian",5.29,1.46,4.91,1.98,3.82,1.44,4.10,2.23,3.29,1.62,4.36,1.81,1
662,"guerrero","warrior",3.65,1.60,6.23,2.18,5.70,1.30,5.45,1.32,4.26,2.14,5.55,1.47,3
663,"guión","script",4.90,0.72,4.23,1.77,4.24,1.84,5.09,1.20,5.30,2.18,5.00,1.82,1
664,"habilidad","skill",7.26,1.25,4.85,2.68,3.40,2.06,2.65,0.99,4.45,1.77,6.45,1.05,1
665,"habitación","room",5.63,1.38,3.52,1.89,5.76,1.45,6.71,0.46,6.65,0.67,6.91,0.29,1
666,"hábito","habit",5.32,0.95,4.00,1.85,2.82,1.53,3.25,1.80,4.27,2.37,5.50,1.14,1
667,"hacha","ax",3.91,1.95,6.05,2.04,6.50,0.89,6.55,1.00,4.36,2.70,5.05,1.96,1
668,"hacienda","ranch",3.00,1.34,5.80,1.82,4.57,1.99,2.32,1.62,4.64,2.13,5.00,1.52,1
669,"hada","fairy",6.27,1.49,4.20,2.46,4.68,1.91,5.59,1.82,4.50,2.32,4.33,1.85,1
670,"hallazgo","finding",6.14,2.23,6.70,1.95,3.70,1.69,2.70,1.78,3.00,2.02,4.77,1.77,1
671,"hechicero","sorcerer",5.32,1.12,5.00,2.28,5.18,1.59,4.52,1.78,3.57,2.13,4.59,1.89,3
672,"heno","hay",4.91,0.68,3.91,1.80,5.55,1.61,3.86,2.15,1.64,1.33,3.41,2.15,1
673,"herido","wounded",2.05,1.40,6.91,1.80,5.04,1.52,6.52,0.73,5.68,1.89,5.43,1.94,3
674,"hermana","sister",7.75,1.48,3.60,1.90,5.05,1.77,5.36,2.24,5.91,1.69,6.67,0.86,1
675,"heroína","heroin",3.85,2.48,6.15,2.08,5.14,1.64,4.23,2.16,5.20,1.58,5.59,1.68,1
676,"heroísmo","heroism",6.41,1.56,6.15,1.69,3.05,1.56,3.25,1.62,3.67,2.08,3.45,1.99,1
677,"herramienta","tool",5.25,1.21,4.40,1.90,3.29,1.95,5.64,1.56,5.09,1.74,5.67,1.62,1
678,"hervir","to boil",4.52,0.75,4.45,1.92,5.50,1.28,4.86,1.90,5.86,1.67,6.05,1.50,1
679,"hidalguía","nobility",4.90,0.54,3.60,1.88,4.17,1.85,1.57,0.84,1.64,1.43,1.85,1.23,1
680,"hielo","ice",5.05,1.53,4.30,1.78,6.50,0.74,6.50,0.74,5.86,1.64,6.64,0.95,1
