id,palabra,edad_de_adquisicion_m,edad_de_adquisicion_sd,categoria_palabra
3687,"inmoral",9.50,1.787,3
3688,"inmóvil",8.18,1.987,3
3689,"insecto",5.26,1.882,2
3690,"insisto",8.26,2.078,1
3691,"insulto",5.90,1.594,2
3692,"intenta",6.00,1.884,1
3693,"intento",6.66,2.300,2
3694,"interés",7.86,1.895,2
3695,"interno",8.34,1.902,3
3696,"intriga",8.76,1.721,2
3697,"intruso",8.38,1.894,3
3698,"invasor",8.68,1.720,2
3699,"invento",6.84,2.394,2
3700,"invitar",5.56,1.981,1
3701,"irlanda",9.34,1.624,2
3702,"irritar",7.38,2.221,1
3703,"jaqueca",8.90,2.013,2
3704,"jornada",8.18,2.007,2
3705,"jóvenes",6.62,1.677,2
3706,"jugador",4.94,1.634,2
3707,"jugando",3.76,1.673,1
3708,"juguete",2.16,1.131,2
3709,"júpiter",7.56,1.431,2
3710,"juzgado",9.22,1.888,1
3711,"ketchup",4.88,2.086,2
3712,"laboral",9.28,1.980,3
3713,"ladrido",4.70,2.150,2
3714,"lagarto",4.70,1.669,2
3715,"lágrima",3.86,1.948,2
3716,"lámpara",3.78,1.389,2
3717,"laringe",8.88,1.452,2
3718,"lástima",7.76,2.429,2
3719,"latitud",9.72,1.552,2
3720,"lavabos",5.44,2.120,2
3721,"lealtad",9.50,1.799,2
3722,"lección",6.52,2.073,2
3723,"lechera",5.10,1.961,3
3724,"lechuga",4.70,2.197,3
3725,"lechuza",6.78,2.179,2
3726,"lectura",5.24,1.451,2
3727,"lejanía",6.64,2.136,2
3728,"lenteja",4.24,1.585,2
3729,"leñador",6.68,1.963,2
3730,"leyenda",7.58,2.223,2
3731,"leyendo",5.02,1.911,1
3732,"liberal",9.42,1.486,3
3733,"libreta",4.30,1.787,2
3734,"limpiar",3.76,1.333,1
3735,"líquido",6.00,2.373,2
3736,"llamaba",5.52,1.832,1
3737,"llamada",5.14,2.148,3
3738,"llamado",6.18,1.859,3
3739,"llanura",7.84,2.113,2
3740,"llavero",5.20,2.119,2
3741,"llegaba",5.46,1.729,1
3742,"llegada",5.78,2.401,2
3743,"llegado",5.52,2.517,1
3744,"llevaba",5.66,1.649,1
3745,"llevado",6.38,2.203,1
3746,"lóbrego",10.80,0.728,3
3747,"londres",8.05,1.422,2
3748,"lotería",8.06,2.024,2
3749,"lucifer",8.46,2.349,2
3750,"lugares",5.12,1.698,2
3751,"lujuria",10.54,0.788,2
3752,"madrina",4.76,2.615,2
3753,"madurez",9.16,1.973,2
3754,"maestra",3.34,1.287,2
3755,"maestro",3.50,1.359,2
3756,"magenta",9.02,2.181,3
3757,"malaria",10.32,1.019,2
3758,"malicia",8.70,2.197,2
3759,"malvado",6.06,2.208,3
3760,"manager",9.86,1.773,2
3761,"manchas",5.06,2.004,2
3762,"mandato",6.98,2.607,2
3763,"maneras",6.88,1.881,2
3764,"maníaco",9.76,1.768,3
3765,"maniquí",6.70,2.023,2
3766,"maníses",5.04,2.507,2
3767,"manopla",6.54,2.689,2
3768,"mansión",6.98,2.055,2
3769,"manzana",2.72,1.070,2
3770,"manzano",5.68,2.189,2
3771,"mapache",7.82,2.229,2
3772,"máquina",4.86,1.990,2
3773,"maracas",6.92,2.372,2
3774,"marcado",6.74,2.078,3
3775,"marchar",6.12,2.291,1
3776,"mareado",5.32,1.867,3
3777,"marqués",8.16,2.004,2
3778,"martini",10.32,1.269,2
3779,"masacre",10.36,1.045,2
3780,"máscara",5.28,1.938,2
3781,"mascota",5.16,2.074,2
3782,"matanza",8.58,2.071,2
3783,"materia",8.98,1.647,2
3784,"maullar",5.18,2.097,1
3785,"mayores",5.06,1.609,3
3786,"mayoría",7.52,2.215,2
3787,"mazorca",8.46,2.279,2
3788,"mechero",5.54,1.971,2
3789,"medalla",5.44,1.763,2
3790,"médicos",4.68,1.856,2
3791,"medidas",7.48,1.374,2
3792,"mejilla",5.20,2.587,2
3793,"mejorar",6.14,1.738,1
3794,"mejores",5.08,1.759,3
3795,"melodía",7.26,2.230,2
3796,"memoria",7.20,1.874,2
3797,"mendigo",6.64,2.489,2
3798,"mensaje",6.84,1.888,2
3799,"mensual",8.52,1.951,3
3800,"mentira",4.50,2.033,2
3801,"mercado",5.06,1.659,2
3802,"merluza",6.24,2.378,2
3803,"mesilla",5.38,2.118,2
3804,"métrica",9.96,1.590,2
3805,"miedoso",4.78,2.063,3
3806,"miembro",7.76,2.115,2
3807,"milagro",6.82,1.966,2
3808,"milenio",9.34,1.611,2
3809,"milicia",10.68,0.551,2
3810,"militar",7.26,2.284,3
3811,"minoría",8.58,2.061,2
3812,"minutos",5.64,1.735,2
3813,"mirando",5.40,2.119,1
3814,"miseria",8.36,2.192,2
3815,"místico",9.94,1.683,2
3816,"mocedad",10.44,1.500,2
3817,"mochila",3.98,1.237,2
3818,"moderno",7.50,1.940,3
3819,"modesto",8.76,1.836,3
3820,"modista",8.12,2.086,2
3821,"moflete",4.82,2.106,2
3822,"molesta",5.84,2.802,1
3823,"molesto",6.80,2.213,3
3824,"momento",5.92,2.275,2
3825,"monarca",9.14,2.250,2
3826,"montada",8.06,2.606,3
3827,"montaña",3.72,1.565,2
3828,"montura",9.24,1.744,2
3829,"moqueta",8.40,2.339,2
3830,"moratón",5.66,2.396,2
3831,"morboso",10.06,1.268,3
3832,"mostrar",6.18,2.126,1
3833,"motivos",7.26,1.915,2
3834,"mudanza",7.32,2.025,2
3835,"muebles",4.94,1.932,2
3836,"muertos",5.46,1.619,2
3837,"muestra",8.94,2.253,1
3838,"mujeres",4.18,1.815,2
3839,"mundial",7.66,1.847,2
3840,"muñecas",3.04,1.160,2
3841,"muralla",6.60,2.060,2
3842,"músculo",5.96,1.807,2
3843,"musical",7.06,2.360,3
3844,"mutilar",9.70,1.693,1
3845,"nadador",4.68,1.684,2
3846,"naranja",3.26,1.259,2
3847,"naranjo",6.30,2.082,2
3848,"natural",6.12,1.722,3
3849,"náutico",9.16,1.646,2
3850,"navarra",9.04,1.678,2
3851,"navidad",3.74,1.664,2
3852,"neblina",6.94,1.963,2
3853,"negocio",8.94,1.789,2
3854,"nervios",7.62,2.175,2
3855,"neurona",10.34,1.118,2
3856,"ninguna",4.50,2.023,4
3857,"ninguno",4.35,1.080,4
3858,"nobleza",9.70,1.529,2
3859,"nombres",3.48,1.529,2
3860,"noruega",8.86,1.690,2
3861,"notario",10.46,1.281,2
3862,"noticia",6.70,2.332,2
3863,"novedad",8.35,1.953,2
3864,"noventa",5.97,1.210,2
3865,"nublado",5.04,2.222,3
3866,"nuclear",10.00,1.400,3
3867,"nuestra",4.68,1.708,4
3868,"nuestro",4.50,1.764,4
3869,"números",3.76,1.611,2
3870,"nupcial",9.20,2.000,3
3871,"obreros",6.68,2.208,2
3872,"obsceno",10.34,1.081,3
3873,"ocasión",8.38,1.589,2
3874,"ochenta",5.80,1.325,2
3875,"octubre",5.22,1.360,4
3876,"ocultar",6.69,1.328,1
3877,"ocurrió",6.20,1.863,1
3878,"ocurrir",6.46,1.876,1
3879,"ofender",7.62,1.968,1
3880,"oficial",8.54,1.982,3
3881,"oficina",7.26,2.127,2
3882,"ojeriza",10.14,1.525,2
3883,"olvidar",5.18,1.466,1
3884,"ombligo",4.62,1.947,2
3885,"opinión",7.70,2.159,2
3886,"opuesto",8.20,2.312,3
3887,"oración",6.58,1.928,2
3888,"ordenar",4.60,1.666,1
3889,"ordeñar",6.42,2.061,1
3890,"orégano",7.18,2.027,2
3891,"orgasmo",10.40,1.309,2
3892,"orgullo",8.70,1.887,2
3893,"oriente",8.28,2.268,2
3894,"oxidado",7.50,1.992,3
3895,"oxígeno",7.96,1.807,2
3896,"oyentes",8.22,1.930,2
3897,"padrino",5.80,2.785,2
3898,"paisaje",4.86,2.185,2
3899,"pájaros",3.72,1.863,2
3900,"palabra",4.14,1.578,2
3901,"palacio",5.56,2.177,2
3902,"palmada",3.66,2.066,3
3903,"palmera",4.00,1.471,2
3904,"pandora",9.14,2.250,2
3905,"pantano",7.14,1.750,2
3906,"pantera",5.94,2.334,2
3907,"pañuelo",4.24,1.598,2
3908,"papeleo",8.48,2.112,2
3909,"papeles",4.22,1.404,2
3910,"paquete",4.52,1.810,2
3911,"paraíso",6.06,2.598,2
3912,"parchís",4.76,1.636,2
3913,"parecen",5.48,1.961,1
3914,"parecer",6.68,2.263,2
3915,"parecía",6.66,2.076,1
3916,"párpado",5.64,2.371,2
3917,"párrafo",7.38,1.576,2
3918,"párroco",8.08,1.998,3
3919,"partida",5.90,2.140,2
3920,"partido",5.00,1.690,2
3921,"pasamos",5.76,1.733,1
3922,"pasando",5.86,1.917,1
3923,"pasillo",4.52,2.033,2
3924,"patatas",5.00,2.657,2
3925,"patente",10.34,1.573,3
3926,"patinar",5.10,1.632,1
3927,"patrono",10.10,1.374,2
3928,"pausado",8.14,2.277,3
3929,"payasos",3.56,1.459,2
3930,"peinado",4.48,1.515,2
3931,"peligro",4.26,2.018,2
3932,"peluche",2.14,1.161,2
3933,"pensaba",5.34,1.649,1
3934,"pensado",6.14,2.286,1
3935,"pensión",8.90,1.799,2
3936,"penuria",10.46,1.129,2
3937,"pequeña",2.68,1.696,3
3938,"pequeño",3.30,1.165,3
3939,"perdida",5.80,2.185,3
3940,"pérdida",5.80,2.030,2
3941,"perdido",5.58,1.830,1
3942,"perdona",4.32,2.094,1
3943,"perdone",5.92,2.320,1
3944,"perejil",5.90,2.252,2
3945,"perfume",6.60,2.449,2
3946,"periodo",8.90,1.919,2
3947,"período",8.46,1.681,2
3948,"permiso",5.88,1.913,2
3949,"permite",7.08,2.284,1
3950,"persona",4.20,2.138,2
3951,"pesadez",7.92,2.257,2
3952,"pescado",3.42,1.416,2
3953,"pesetas",4.45,1.126,3
3954,"pestaña",4.40,2.148,2
3955,"pétalos",5.84,1.765,2
3956,"petunia",8.35,2.562,2
3957,"piadosa",9.34,1.673,3
3958,"piedras",3.80,1.355,2
3959,"piensas",5.42,1.774,1
3960,"piernas",3.34,1.189,2
3961,"pinchar",5.12,2.047,1
3962,"pinocho",3.52,1.865,2
3963,"pintura",4.00,1.726,2
3964,"piragua",8.55,1.838,2
3965,"piscina",4.06,1.361,2
3966,"pistola",6.00,2.030,2
3967,"pizarra",3.98,1.097,2
3968,"plancha",4.84,1.920,2
3969,"planeta",6.94,2.217,2
3970,"plantas",3.94,1.634,2
3971,"plátano",3.26,1.468,2
3972,"platino",9.58,1.703,2
3973,"pobreza",6.58,1.808,2
3974,"podamos",6.59,1.999,1
3975,"podemos",4.96,1.895,1
3976,"podrían",6.28,1.874,1
3977,"podrido",5.80,1.863,3
3978,"policía",4.50,1.581,2
3979,"polilla",7.84,1.899,2
3980,"pólvora",8.72,1.830,2
3981,"ponemos",5.06,1.517,1
3982,"ponerse",4.78,2.131,1
3983,"ponzoña",10.94,0.314,2
3984,"popular",8.24,1.933,3
3985,"poquito",3.64,1.816,3
3986,"porción",7.16,2.084,2
3987,"portada",7.20,2.119,2
3988,"portero",6.22,2.160,2
3989,"posible",6.70,1.982,3
3990,"postura",7.78,2.225,2
3991,"potasio",9.98,1.332,2
3992,"pradera",5.76,1.802,2
3993,"preciso",9.08,1.736,3
3994,"prefijo",8.52,1.843,2
3995,"premios",4.44,1.593,2
3996,"presión",9.22,1.776,2
3997,"primera",4.34,1.780,3
3998,"primero",4.34,1.733,3
3999,"prisión",7.75,1.408,2
4000,"privada",7.34,1.825,3
4001,"privado",7.74,1.882,3
4002,"probeta",10.42,0.992,2
4003,"proceso",9.00,1.841,2
4004,"produce",7.84,1.719,1
4005,"profeta",8.70,1.810,2
4006,"prójimo",8.92,2.202,2
4007,"prólogo",10.22,1.433,2
4008,"promesa",6.32,2.065,2
4009,"propano",10.45,1.017,2
4010,"propios",7.36,1.893,4
4011,"próxima",7.20,1.807,3
4012,"próximo",6.78,2.102,3
4013,"pruebas",5.98,1.932,2
4014,"pública",7.81,1.584,3
4015,"público",6.84,1.952,2
4016,"puchero",6.16,2.502,2
4017,"pudiera",6.60,2.185,1
4018,"pueblos",5.48,1.729,2
4019,"puertas",3.34,1.007,2
4020,"puestos",6.78,2.188,3
4021,"pulsera",4.78,1.776,2
4022,"puntual",8.28,1.762,3
4023,"pupitre",4.18,1.366,2
4024,"quedaba",5.92,1.676,1
4025,"quedado",6.36,1.998,1
4026,"queréis",6.02,2.124,1
4027,"querían",5.10,1.898,1
4028,"querida",6.00,2.650,2
4029,"querido",6.27,2.089,1
4030,"quienes",5.26,1.736,4
4031,"quieran",6.04,2.020,1
4032,"quieras",5.38,2.029,1
4033,"quieren",5.00,1.917,1
4034,"quieres",3.76,1.836,1
4035,"quietud",9.62,1.737,2
4036,"quijote",9.60,1.578,2
4037,"quimera",10.44,1.445,2
4038,"química",9.80,1.340,3
4039,"químico",9.56,1.929,3
4040,"quitado",5.42,2.681,1
4041,"rabieta",5.64,2.018,2
4042,"racismo",9.34,1.636,2
4043,"radical",9.46,1.669,3
4044,"rapidez",6.56,1.631,2
4045,"raqueta",5.10,1.681,2
4046,"rasguño",7.08,2.996,2
4047,"razonar",8.46,2.043,1
4048,"razones",7.02,1.610,2
4049,"realeza",7.86,1.990,2
4050,"rebajas",8.58,1.960,2
4051,"rebelde",7.90,2.315,3
4052,"recelar",10.40,1.370,1
4053,"rechazo",8.16,1.845,2
4054,"recibir",6.34,1.493,1
4055,"reclamo",8.92,1.782,2
4056,"recoger",4.20,1.756,1
4057,"recurso",9.56,1.680,2
4058,"redonda",3.86,2.000,3
4059,"redondo",4.38,1.989,2
4060,"refiere",8.48,2.002,1
4061,"refiero",8.14,2.176,1
4062,"reflejo",6.94,2.436,2
4063,"reforma",8.94,1.754,2
4064,"refugio",8.00,2.176,2
4065,"régimen",9.50,1.821,2
4066,"regreso",6.54,2.102,2
4067,"reinado",7.44,2.459,2
4068,"relieve",8.42,1.739,2
4069,"remedio",7.34,2.379,2
4070,"rendija",7.52,2.306,2
4071,"renovar",9.34,1.661,1
4072,"reparto",6.78,2.359,2
4073,"repente",8.04,3.247,4
4074,"réplica",10.04,1.177,2
4075,"repollo",8.18,2.647,2
4076,"rescate",7.48,2.234,2
4077,"reserva",9.18,1.746,2
4078,"residir",8.84,2.044,1
4079,"resorte",7.14,2.330,2
4080,"respeto",5.90,2.358,2
4081,"resulta",7.58,1.991,1
4082,"resumen",7.72,1.230,1
4083,"retener",8.48,1.940,1
4084,"retraso",7.67,1.994,2
4085,"retrato",6.80,1.959,2
4086,"retrete",5.28,2.110,2
4087,"reunión",7.76,2.209,2
4088,"revista",5.84,1.845,2
4089,"revuelo",9.12,2.017,2
4090,"rigidez",8.96,1.726,2
4091,"riqueza",7.16,1.931,2
4092,"rítmica",7.58,2.357,3
4093,"rodilla",3.62,2.029,2
4094,"rodillo",6.82,2.292,2
4095,"romance",8.56,2.205,2
4096,"romanos",8.34,1.573,2
4097,"rosario",6.88,2.438,2
4098,"rubidio",10.84,0.510,2
4099,"rúbrica",10.14,1.565,2
4100,"ruidosa",6.38,2.303,3
4101,"ruidoso",5.30,1.657,3
4102,"ruptura",8.84,1.730,2
4103,"rústico",9.40,1.841,3
4104,"sabemos",5.58,1.679,1
4105,"sabrosa",6.80,2.330,3
4106,"sabroso",6.16,2.280,3
4107,"salario",9.60,1.616,2
4108,"salival",9.86,1.678,3
4109,"saludar",3.20,1.604,1
4110,"salvaje",6.70,1.753,3
4111,"sanidad",9.10,1.705,2
4112,"sardana",10.14,1.594,2
4113,"sardina",5.66,2.105,2
4114,"satanás",8.22,2.207,2
4115,"saturno",7.98,1.532,2
4116,"secador",6.18,2.097,2
4117,"sección",9.30,1.681,2
4118,"secreto",5.22,1.753,2
4119,"segovia",8.92,1.627,2
4120,"seguida",6.30,1.919,4
4121,"seguido",6.74,1.998,3
4122,"segunda",4.80,1.298,3
4123,"segundo",4.44,1.763,3
4124,"semanal",7.36,1.903,3
4125,"semanas",5.06,1.659,2
4126,"sembrar",5.66,2.076,1
4127,"semilla",5.30,1.940,2
4128,"senador",9.66,1.624,2
4129,"sendero",7.52,1.930,2
4130,"sensual",9.90,1.374,3
4131,"sentado",3.64,1.495,3
4132,"sentido",7.40,2.347,2
4133,"señalar",3.86,2.050,1
4134,"señoras",5.38,1.469,2
4135,"señores",5.36,2.107,2
4136,"séptimo",6.18,1.997,3
4137,"serrano",6.79,1.835,2
4138,"sesenta",5.78,1.475,2
4139,"setenta",5.72,1.715,2
4140,"sevilla",7.58,1.444,2
4141,"siempre",5.18,1.956,4
4142,"sífilis",10.84,0.510,2
4143,"silbato",5.56,2.314,2
4144,"silueta",7.38,2.906,2
4145,"símbolo",7.42,2.374,2
4146,"similar",8.42,2.158,3
4147,"sincero",7.54,2.121,3
4148,"síntoma",9.60,1.714,2
4149,"sistema",9.46,1.971,2
4150,"sobrino",6.10,2.112,2
4151,"socorro",5.46,2.243,2
4152,"soldado",5.86,1.852,2
4153,"soleado",4.56,2.012,3
4154,"soledad",8.46,2.002,2
4155,"solemne",10.22,1.433,3
4156,"solidez",8.96,2.128,2
4157,"soltero",8.16,1.754,3
4158,"sonrisa",4.22,1.657,2
4159,"soporte",8.62,2.147,2
4160,"sosiego",10.30,1.282,2
4161,"subasta",9.20,1.604,2
4162,"sujetar",5.98,2.152,1
4163,"súplica",9.28,1.762,2
4164,"supongo",7.74,1.988,1
4165,"suprema",9.78,1.314,2
4166,"supremo",9.68,1.406,2
4167,"suspiro",7.16,2.411,2
4168,"taberna",9.06,1.800,2
4169,"tabique",8.88,1.965,2
4170,"tablero",5.96,2.070,2
4171,"taladro",7.14,2.416,2
4172,"talento",8.24,2.282,2
4173,"también",5.38,2.303,4
4174,"tampoco",5.06,1.845,4
4175,"tarjeta",6.62,2.320,2
4176,"teatral",7.60,1.852,3
4177,"teclado",7.12,1.848,2
4178,"técnica",9.32,1.720,2
4179,"técnico",8.80,1.604,3
4180,"temblor",6.60,2.204,2
4181,"tenazas",6.94,2.559,2
4182,"tendrán",6.52,1.619,1
4183,"tendría",6.38,1.760,1
4184,"tenedor",3.28,1.642,2
4185,"tenemos",4.38,1.772,1
4186,"tensión",8.88,2.106,2
4187,"tequila",10.44,1.091,2
4188,"terapia",10.08,1.455,2
4189,"tercera",5.42,1.667,3
4190,"tercero",5.30,1.529,3
4191,"termina",5.02,1.868,1
4192,"término",9.16,1.888,2
4193,"termita",8.40,1.969,2
4194,"ternera",6.72,1.917,2
4195,"ternura",7.16,2.930,2
4196,"terraza",5.40,2.407,2
4197,"terreno",7.08,2.212,2
4198,"testigo",8.56,1.692,2
4199,"tiburón",3.94,1.504,2
4200,"tiempos",6.14,2.000,2
4201,"tiendas",5.24,1.756,2
4202,"tiestos",9.06,2.014,3
4203,"tijeras",3.66,1.451,2
4204,"timidez",7.60,2.231,2
4205,"tiranía",8.94,3.310,2
4206,"titanic",9.40,1.678,2
4207,"titular",9.04,2.099,2
4208,"tobillo",5.10,1.854,2
4209,"tobogán",3.46,2.140,2
4210,"tocador",7.78,2.427,2
4211,"todavía",5.90,2.053,4
4212,"tomando",5.78,2.270,1
4213,"topacio",9.85,2.136,2
4214,"torcido",5.64,2.038,3
4215,"tornado",7.16,1.910,2
4216,"torpeza",7.44,2.042,2
4217,"tortazo",4.52,1.919,2
4218,"tortuga",3.26,1.509,2
4219,"tortura",8.04,2.010,2
4220,"tostada",4.82,1.650,3
4221,"trabaja",4.94,1.800,1
4222,"trabajo",5.46,2.401,2
4223,"tractor",5.30,1.821,2
4224,"trafico",7.00,1.784,2
4225,"traidor",7.48,2.169,3
4226,"tranvía",8.04,1.979,2
4227,"trasero",6.34,2.361,3
4228,"tratado",10.36,1.258,2
4229,"treinta",5.04,1.370,2
4230,"tribuna",9.96,1.484,2
4231,"tributo",10.44,1.198,2
4232,"tríceps",9.82,1.320,2
4233,"triunfo",7.68,2.236,2
4234,"trombón",8.12,2.471,2
4235,"tsunami",10.50,1.147,2
4236,"tubería",6.80,1.750,2
4237,"tulipán",7.02,2.254,2
4238,"tumbona",6.80,1.990,2
4239,"turismo",8.76,1.880,2
4240,"turista",7.46,1.961,2
4241,"tuviera",6.48,2.197,1
4242,"tuvimos",6.06,1.583,1
4243,"últimas",4.94,1.671,3
4244,"últimos",5.16,1.608,3
4245,"ustedes",5.10,1.529,4
4246,"usuario",9.54,1.644,2
4247,"vacilar",7.44,1.752,1
4248,"valorar",8.40,1.884,1
4249,"valores",8.38,1.947,2
4250,"vampiro",5.48,1.607,2
4251,"vándalo",9.18,1.781,3
4252,"vanidad",10.32,1.571,2
4253,"vaquero",5.58,1.939,2
4254,"vecinos",5.20,1.666,2
4255,"vegetal",6.32,1.801,3
4256,"vencido",7.50,2.418,1
4257,"venecia",9.04,1.147,2
4258,"ventaja",7.26,2.018,2
4259,"ventana",3.20,1.278,2
4260,"ventura",10.46,1.216,2
4261,"verbena",8.42,2.148,2
4262,"verdura",4.26,1.925,2
4263,"veremos",5.92,2.009,1
4264,"versión",9.58,1.540,2
4265,"vértigo",8.50,1.681,2
4266,"vestido",3.08,1.724,2
4267,"vicioso",9.24,1.975,3
4268,"víctima",8.16,2.044,2
4269,"vientre",5.88,2.265,2
4270,"viernes",4.28,1.310,2
4271,"vigilar",6.86,2.232,1
4272,"vinagre",5.66,2.016,2
4273,"violeta",4.36,1.793,2
4274,"viruela",8.88,2.471,2
4275,"visillo",9.72,1.617,2
4276,"visitar",5.28,2.313,1
4277,"víspera",8.82,1.956,2
4278,"vitrina",8.14,2.532,2
4279,"víveres",9.14,1.885,2
4280,"vivimos",4.78,1.718,1
4281,"vocablo",9.42,1.842,2
4282,"vocales",4.00,1.552,3
4283,"volante",5.92,2.108,2
4284,"volátil",9.14,2.595,3
4285,"volumen",7.02,2.272,2
4286,"vueltas",4.50,1.568,2
4287,"zapatos",3.18,1.257,2
4288,"zodíaco",8.44,2.205,2
4289,"abandono",7.22,1.941,2
4290,"abrumado",9.54,1.809,1
4291,"absoluta",8.56,1.593,3
4292,"absoluto",8.92,2.127,3
4293,"aburrida",5.08,1.759,3
4294,"aburrido",4.82,2.067,3
4295,"academia",8.04,2.138,2
4296,"acampada",7.16,2.170,3
4297,"acciones",7.12,1.722,2
4298,"aceituna",4.42,2.041,2
4299,"acogedor",8.06,1.800,3
4300,"acordeón",6.78,2.243,2
4301,"acuarela",5.72,2.186,2
4302,"acuerdas",5.72,1.727,1
4303,"acústica",9.30,1.799,3
4304,"adecuado",8.14,1.714,3
4305,"adelante",5.62,1.958,4
4306,"adhesión",10.16,1.376,2
4307,"adhesiva",6.94,2.024,3
4308,"adivinar",5.78,1.844,1
4309,"adjetivo",8.08,1.614,2
4310,"admirado",8.82,1.722,3
4311,"adorable",6.72,2.129,3
4312,"adquirir",8.44,2.052,1
4313,"adverbio",8.72,1.654,2
4314,"afianzar",10.10,1.529,1
4315,"afinidad",8.94,2.853,2
4316,"afligido",10.04,1.484,3
4317,"agilidad",8.02,1.932,2
4318,"agobiado",8.24,2.026,3
4319,"agresión",8.38,1.861,2
4320,"agresiva",7.30,2.131,3
4321,"agresivo",6.40,1.841,3
4322,"agrónomo",10.66,0.872,2
4323,"aguantar",6.14,2.030,1
4324,"ahogarse",5.28,1.906,1
4325,"albornoz",7.00,2.090,2
4326,"alboroto",7.48,1.909,2
4327,"alborozo",10.66,0.872,2
4328,"alcalina",9.34,2.026,3
4329,"alcanzar",6.64,2.431,1
4330,"alemania",6.98,2.075,2
4331,"alérgica",7.70,2.279,3
4332,"alfombra",4.02,1.720,2
4333,"alicante",8.28,2.110,2
4334,"alicates",7.40,2.100,2
4335,"alimento",5.24,1.933,2
4336,"almendro",6.82,2.057,2
4337,"almohada",4.70,2.063,2
4338,"almuerzo",3.94,1.963,2
4339,"alquiler",8.84,2.207,2
4340,"alumbrar",6.88,2.057,1
4341,"aluminio",7.82,2.154,2
4342,"amanecer",6.52,2.033,2
4343,"amargura",9.22,1.941,2
4344,"amarilla",3.28,1.457,3
4345,"amarillo",2.50,0.886,2
4346,"amatista",10.31,1.323,3
4347,"ambición",9.62,1.701,2
4348,"ambiente",8.98,1.932,2
4349,"amenazar",8.02,2.104,1
4350,"amigable",7.72,1.990,3
4351,"amplitud",9.30,1.644,2
4352,"anaconda",8.44,1.908,2
4353,"análisis",8.55,1.850,2
4354,"analizar",8.42,2.139,1
4355,"analogía",10.76,0.822,2
4356,"anarquía",10.76,0.591,2
4357,"anatomía",9.46,1.555,2
4358,"ancianos",6.38,1.905,2
4359,"angustia",8.92,2.165,2
4360,"animados",4.40,1.884,3
4361,"animales",3.26,1.688,2
4362,"anorexia",10.08,1.576,2
4363,"ansiedad",9.20,2.770,2
4364,"anterior",6.32,1.812,3
4365,"antídoto",8.94,2.334,2
4366,"antorcha",8.08,1.805,2
4367,"anuncios",6.18,2.238,2
4368,"añoranza",9.56,1.786,2
4369,"aparador",9.78,2.023,2
4370,"apellido",3.74,1.747,2
4371,"apertura",8.66,1.803,2
4372,"aplicado",8.48,1.810,3
4373,"aprender",4.54,1.555,1
4374,"aprendiz",7.78,1.909,2
4375,"apretado",5.34,2.115,3
4376,"aprobado",5.32,1.504,2
4377,"aquellas",5.76,2.361,4
4378,"aquellos",5.58,2.071,4
4379,"ardiente",8.58,2.357,3
4380,"armadura",5.98,2.005,2
4381,"armónica",7.84,2.093,3
4382,"arreglar",5.92,1.676,1
4383,"arrugado",4.80,1.552,3
4384,"artesano",8.40,2.390,2
4385,"artículo",8.36,1.549,2
4386,"asamblea",9.50,1.657,2
4387,"ascensor",5.66,2.105,2
4388,"asediado",10.80,0.670,3
4389,"asesinar",7.44,2.022,1
4390,"asombrar",7.30,2.121,1
4391,"asonante",9.71,1.161,3
4392,"aspectos",8.08,1.759,2
4393,"asqueado",8.24,2.124,3
4394,"asturias",8.12,1.637,2
4395,"asustado",3.72,1.591,3
4396,"atención",6.24,2.172,2
4397,"atlético",8.62,1.794,2
4398,"atrevido",6.92,1.936,1
4399,"atributo",9.90,1.389,2
4400,"auditivo",8.40,2.080,3
4401,"ausencia",8.58,2.322,2
4402,"autónoma",9.72,1.863,2
4403,"avaricia",9.14,1.938,2
4404,"aventura",6.14,2.213,2
4405,"avestruz",6.24,1.933,2
4406,"aviación",8.14,2.020,2
4407,"ayudante",6.38,2.212,2
4408,"bacteria",9.20,1.750,2
4409,"bailarín",4.74,2.048,3
4410,"balancín",4.92,2.337,2
4411,"bancaria",9.78,1.516,3
4412,"banqueta",6.28,2.176,2
4413,"banquete",7.68,1.867,2
4414,"barbarie",10.12,1.955,2
4415,"barbilla",5.12,1.674,2
4416,"barítono",10.16,1.719,3
4417,"barranco",5.10,1.992,2
4418,"barrotes",6.84,2.226,2
4419,"basílica",9.14,1.830,2
4420,"bastante",6.02,1.846,4
4421,"bastardo",9.56,1.798,2
4422,"batallón",8.70,1.951,2
4423,"batidora",5.84,1.942,3
4424,"bendecir",6.97,1.379,1
4425,"bermudas",7.48,2.234,2
4426,"biología",9.38,1.872,2
4427,"bisiesto",8.68,1.867,2
4428,"blindada",9.60,2.185,3
4429,"bofetada",4.94,1.731,2
4430,"boloñesa",8.06,2.360,3
4431,"bolsillo",4.20,1.591,2
4432,"bombilla",5.04,1.551,2
4433,"borracho",7.12,2.446,3
4434,"borrasca",8.35,2.323,2
4435,"boxeador",7.14,1.714,3
4436,"brevedad",9.30,1.717,2
4437,"buceador",6.38,2.009,2
4438,"buscando",5.48,2.013,1
4439,"búsqueda",6.52,2.270,2
4440,"caballos",3.90,1.515,2
4441,"cacerola",6.62,2.049,2
4442,"cacharro",4.96,2.176,2
4443,"cachorro",4.28,1.512,2
4444,"cafetera",5.38,1.894,2
4445,"cajonera",7.68,2.316,2
4446,"calabaza",5.86,2.286,2
4447,"calambre",7.68,1.900,2
4448,"calavera",7.48,1.681,2
